Point_No,Trial_X,Trial_Y,Distance,Pos_X,Pos_Y
0,36,7,5.0990195135927845,37.0,12.0
1,37,7,4.0,37.0,11.0
2,39,7,1.0,39.0,8.0
3,40,7,5.385164807134504,42.0,12.0
4,42,7,1.4142135623730951,41.0,8.0
5,43,7,4.123105625617661,39.0,8.0
6,44,8,2.0,44.0,10.0
7,44,10,2.8284271247461903,42.0,12.0
8,44,11,1.0,44.0,12.0
9,44,12,1.4142135623730951,45.0,11.0
10,42,14,5.830951894845301,45.0,9.0
11,41,14,5.830951894845301,44.0,9.0
12,40,14,5.656854249492381,44.0,10.0
13,39,14,6.708203932499369,45.0,11.0
14,37,14,8.06225774829855,44.0,10.0
15,36,14,5.385164807134504,41.0,12.0
16,35,14,4.47213595499958,37.0,10.0
17,34,14,7.280109889280518,41.0,12.0
18,32,14,10.198039027185569,42.0,12.0
19,31,14,7.211102550927978,37.0,10.0
20,30,14,6.324555320336759,36.0,12.0
21,29,15,2.23606797749979,31.0,14.0
22,29,16,2.0,29.0,14.0
23,28,17,3.1622776601683795,29.0,14.0
24,27,17,10.198039027185569,25.0,7.0
25,25,17,1.0,24.0,17.0
26,24,17,2.0,26.0,17.0
27,23,17,1.0,24.0,17.0
28,21,17,8.06225774829855,29.0,16.0
29,19,17,11.40175425099138,30.0,14.0
30,18,17,11.40175425099138,29.0,14.0
31,17,17,4.0,21.0,17.0
32,15,17,2.0,17.0,17.0
33,14,17,7.280109889280518,16.0,10.0
34,13,17,8.48528137423857,19.0,11.0
35,11,17,8.602325267042627,16.0,10.0
36,10,17,10.63014581273465,18.0,10.0
